x y
200 0.0685214
400 0.1057365
600 0.147770
800 0.177464
1000 0.221091
1200 0.272945
1400 0.3208915
1600 0.3684825
1800 0.4191895
2000 0.4734335
2200 0.52368
2400 0.5970235
2600 0.644794
2800 0.727638
3000 0.7822335
3200 0.884245
3400 0.918299
3600 1.0235305
3800 1.07607
4000 1.177319
4200 1.295883
4400 1.406991
4600 1.465221
4800 1.557092
5000 1.687606
5200 1.777987
5400 1.9241625
5600 2.089773
5800 2.201803
6000 2.390299
6200 2.633745
6400 2.749600
6600 2.943608
6800 3.122419
7000 3.312132
7200 3.5439615
7400 3.8222915
7600 4.1267345
7800 4.180966
8000 4.3407095
