x y
50 0.034610
100 0.058603
150 0.087292
200 0.117201
250 0.144571
300 0.175748
350 0.203108
400 0.233475
450 0.261629
500 0.289508
550 0.347341
600 0.373458
650 0.404385
700 0.407246
750 0.434120
800 0.482836
850 0.529816
900 0.543286
950 0.560982
1000 0.578957
1050 0.608523
1100 0.636886
1150 0.664842
1200 0.693756
1250 0.723847
1300 0.753317
1350 0.782734
1400 0.809121
1450 0.838343
1500 0.867366
1550 0.896080
1600 0.927982
1650 0.958367
1700 0.982929
1750 1.011331
1800 1.043408
1850 1.087555
1900 1.194531
1950 1.187238
2000 1.222657
